
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 03-Jun-2026 at 09:40:21.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.6375   1.1213817E+06   1.0585883E+06   1.1213817E+06   9.2304001E+05   8.6179712E+05   9.2304001E+05
    1.6500   1.1213677E+06   1.0586803E+06   1.1213677E+06   9.2304831E+05   8.6185098E+05   9.2304831E+05
    1.6625   1.1213487E+06   1.0587889E+06   1.1213487E+06   9.2305661E+05   8.6190485E+05   9.2305661E+05
    1.6750   1.1213251E+06   1.0589132E+06   1.1213251E+06   9.2306477E+05   8.6195931E+05   9.2306477E+05
    1.6875   1.1212970E+06   1.0590521E+06   1.1212970E+06   9.2307262E+05   8.6201504E+05   9.2307262E+05
    1.7000   1.1212649E+06   1.0592044E+06   1.1212649E+06   9.2307997E+05   8.6207278E+05   9.2307997E+05
    1.7125   1.1212289E+06   1.0593690E+06   1.1212289E+06   9.2308661E+05   8.6213335E+05   9.2308661E+05
    1.7250   1.1211896E+06   1.0595445E+06   1.1211896E+06   9.2309232E+05   8.6219760E+05   9.2309232E+05
    1.7375   1.1211473E+06   1.0597295E+06   1.1211473E+06   9.2309687E+05   8.6226642E+05   9.2309687E+05
    1.7500   1.1211023E+06   1.0599227E+06   1.1211023E+06   9.2310001E+05   8.6234068E+05   9.2310001E+05
    1.7625   1.1210550E+06   1.0601228E+06   1.1210550E+06   9.2310150E+05   8.6242127E+05   9.2310150E+05
    1.7750   1.1210059E+06   1.0603284E+06   1.1210059E+06   9.2310113E+05   8.6250901E+05   9.2310113E+05
    1.7875   1.1209552E+06   1.0605380E+06   1.1209552E+06   9.2309866E+05   8.6260472E+05   9.2309866E+05
    1.8000   1.1209035E+06   1.0607505E+06   1.1209035E+06   9.2309389E+05   8.6270912E+05   9.2309389E+05
    1.8125   1.1208511E+06   1.0609645E+06   1.1208511E+06   9.2308664E+05   8.6282287E+05   9.2308664E+05
